"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"510",15,1,249,0,0,"MaxM","5"
"511",20,0,0,0,249,"MaxS","5"
"512",20,0.1,0,0,0,"MaxS","5"
"513",20,0.2,0,0,0,"MaxS","5"
"514",20,0.3,0,0,0,"MaxS","5"
"515",20,0.4,0,0,0,"MaxS","5"
"516",20,0.45,0,0,249,"MaxS","5"
"517",20,0.5,6,0,243,"MaxM","5"
"518",20,0.55,131,0,118,"MaxM","5"
"519",20,0.6,133,0,116,"MaxM","5"
"520",20,0.65,134,0,115,"MaxM","5"
"521",20,0.7,0,0,0,"MaxS","5"
"522",20,0.75,148,0,101,"MaxM","5"
"523",20,0.8,0,0,0,"MaxS","5"
"524",20,0.9,0,0,0,"MaxS","5"
"525",20,1,249,0,0,"MaxM","5"
"526",25,0,0,0,249,"MaxS","5"
"527",25,0.1,0,0,0,"MaxS","5"
"528",25,0.2,0,0,0,"MaxS","5"
"529",25,0.3,0,0,0,"MaxS","5"
"530",25,0.4,0,0,0,"MaxS","5"
"531",25,0.45,0,0,249,"MaxS","5"
"532",25,0.5,1,0,248,"MaxM","5"
"533",25,0.55,152,0,97,"MaxM","5"
"534",25,0.6,151,0,98,"MaxM","5"
"535",25,0.65,154,0,95,"MaxM","5"
"536",25,0.7,0,0,0,"MaxS","5"
"537",25,0.75,148,0,101,"MaxM","5"
"538",25,0.8,0,0,0,"MaxS","5"
"539",25,0.9,0,0,0,"MaxS","5"
"540",25,1,249,0,0,"MaxM","5"
"541",10,0,0,5,249,"MaxS","5"
"542",10,0.1,0,5,0,"MaxS","5"
"543",10,0.2,0,5,0,"MaxS","5"
"544",10,0.3,0,5,0,"MaxS","5"
"545",10,0.4,0,5,0,"MaxS","5"
"546",10,0.45,0,5,249,"MaxS","5"
"547",10,0.5,0,5,249,"MaxS","5"
"548",10,0.55,95,5,154,"MaxM","5"
"549",10,0.6,102,5,147,"MaxM","5"
"550",10,0.65,104,5,145,"MaxM","5"
"551",10,0.7,0,5,0,"MaxS","5"
"552",10,0.75,98,5,151,"MaxM","5"
"553",10,0.8,0,5,0,"MaxS","5"
"554",10,0.9,0,5,0,"MaxS","5"
"555",10,1,249,5,0,"MaxM","5"
"556",15,0,0,5,249,"MaxS","5"
"557",15,0.1,0,5,0,"MaxS","5"
"558",15,0.2,0,5,0,"MaxS","5"
"559",15,0.3,0,5,0,"MaxS","5"
